Arquivo,Texto,English
public/index.html,Conecte nossos agentes com as ferramentas que você já usa. Integração simples e rápida com as principais plataformas do mercado.,"Connect our agents to the tools you already use. Simple, fast integration with the market’s leading platforms."
public/index.html,Slack,Slack
public/index.html,Teams,Teams
public/index.html,HubSpot,HubSpot
public/index.html,Salesforce,Salesforce
public/index.html,Ver Todas as Integrações,View All Integrations
public/index.html,Como funciona,How it works
public/index.html,Um processo simples e estruturado para transformar sua empresa em apenas algumas semanas.,"A simple, structured process to transform your company in just a few weeks."
public/index.html,Consultoria Gratuita,Free Consultation
public/index.html,Agendamos uma reunião para entender suas necessidades e mapear oportunidades de automação.,We schedule a meeting to understand your needs and map automation opportunities.
public/index.html,Análise e Proposta,Analysis & Proposal
public/index.html,Nossa equipe faz uma análise detalhada e apresenta uma proposta personalizada para sua empresa.,Our team performs a detailed analysis and presents a tailored proposal for your company.
public/index.html,Desenvolvimento,Development
public/index.html,Desenvolvemos e configuramos seus agentes de IA de acordo com suas necessidades específicas.,We develop and configure your AI agents according to your specific needs.
public/index.html,Implementação,Implementation
public/index.html,Integramos os agentes em seus sistemas e treinamos sua equipe para o uso eficiente.,We integrate the agents into your systems and train your team for efficient use.
public/index.html,Powered by,Powered by
public/index.html,Utilizamos as tecnologias mais avançadas e confiáveis do mercado para garantir a melhor performance dos seus agentes de IA.,We use the most advanced and reliable technologies on the market to ensure the best performance for your AI agents.
public/index.html,Transforme sua empresa hoje mesmo,Transform your company today
public/index.html,Não deixe seus concorrentes saírem na frente,Don’t let your competitors get ahead
public/index.html,Dê o primeiro passo rumo à automação inteligente. Agende sua consultoria gratuita e transforme sua operação com IA.,Take the first step toward intelligent automation. Schedule your free consultation and transform your operation with AI.
public/index.html,Começar Transformação AGORA,Start Transformation NOW
public/index.html,Sem compromisso,No obligation
public/index.html,Consultoria gratuita,Free consultation
public/index.html,Resultado garantido,Guaranteed results
public/index.html,"Transformamos empresas através de agentes de IA personalizados. Automatize processos, otimize resultados e cresça de forma inteligente.","We transform companies through customized AI agents. Digitize processes, optimize results, and grow intelligently."
public/index.html,© 2024 Evolut IA. Todos os direitos reservados.,© 2024 Evolut AI. All rights reserved.
public/index.html,Termos de Uso,Terms of Use
public/index.html,Política de Privacidade,Privacy Policy
public/index.html,LGPD,LGPD
